run_time,.github/workflows/comment-deployment-plan-pr.yaml,.github/workflows/validate-clusters.yaml,.github/workflows/ensure-uptime-checks.yaml,.github/workflows/comment-test-link-merged-pr.yaml,.github/workflows/deploy-hubs.yaml,.github/workflows/terraform-lint.yaml,.github/workflows/auto-author-assign-pull-request.yaml,.github/workflows/test-deployer-code.yaml,.github/workflows/doc-links.yml,.github/workflows/bump-helm-versions.yaml,.github/workflows/bump-image-tags.yaml,.github/workflows/comment-dependabot-prs.yaml,.github/workflows/comment-pending-deployment-info.yaml,.github/workflows/deploy-grafana-dashboards.yaml,.github/workflows/bump-ohw-image-tags.yaml
2022-06-30 00:00:00+00:00,0.0,61.0,0.0,15.0,0.0,25.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31 00:00:00+00:00,99.0,179.0,0.0,38.0,0.0,33.0,0.0,28.0,34.0,4.0,4.0,0.0,0.0,0.0,0.0
2022-08-31 00:00:00+00:00,143.0,153.0,0.0,31.0,0.0,33.0,0.0,31.0,31.0,5.0,7.0,0.0,0.0,0.0,119.0
2022-09-30 00:00:00+00:00,84.0,83.0,0.0,27.0,0.0,18.0,0.0,15.0,30.0,4.0,4.0,0.0,0.0,0.0,6.0
2022-10-31 00:00:00+00:00,168.0,157.0,13.0,38.0,0.0,64.0,0.0,62.0,31.0,5.0,5.0,0.0,0.0,0.0,0.0
2022-11-30 00:00:00+00:00,204.0,196.0,37.0,52.0,69.0,28.0,0.0,106.0,30.0,4.0,4.0,14.0,0.0,0.0,0.0
2022-12-31 00:00:00+00:00,65.0,61.0,19.0,22.0,63.0,15.0,0.0,6.0,31.0,4.0,4.0,4.0,0.0,0.0,0.0
2023-01-31 00:00:00+00:00,158.0,142.0,44.0,51.0,150.0,18.0,0.0,35.0,31.0,5.0,5.0,19.0,0.0,0.0,0.0
2023-02-28 00:00:00+00:00,201.0,181.0,66.0,71.0,185.0,22.0,0.0,16.0,28.0,6.0,4.0,1.0,0.0,5.0,0.0
2023-03-31 00:00:00+00:00,289.0,278.0,68.0,70.0,271.0,25.0,0.0,75.0,31.0,4.0,4.0,5.0,0.0,2.0,0.0
2023-04-30 00:00:00+00:00,79.0,76.0,24.0,26.0,76.0,14.0,0.0,8.0,30.0,3.0,4.0,10.0,0.0,3.0,0.0
2023-05-31 00:00:00+00:00,96.0,89.0,33.0,39.0,91.0,14.0,7.0,9.0,32.0,1.0,5.0,6.0,4.0,1.0,0.0
2023-06-30 00:00:00+00:00,91.0,91.0,26.0,26.0,89.0,27.0,99.0,15.0,13.0,2.0,2.0,17.0,0.0,0.0,0.0
